product,manufacturer,property,predicted_value,confidence,prediction_method,donor_1_actual_value,donor_1_manufacturer,donor_1_product,donor_1_weight,donor_2_actual_value,donor_2_manufacturer,donor_2_product,donor_2_weight,donor_3_actual_value,donor_3_manufacturer,donor_3_product,donor_3_weight
RT57HC,Rubitherm Technologies,TC_solid,0.3036,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),0.33,Pluss Advanced Technologies,savE® OM49,0.447,0.29,CrodaTherm,CrodaTherm 60,0.446,0.25,PureTemp,PureTemp 60,0.107
n-Hexacosane (C26),Literature,TC_solid,0.2994,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),0.29,CrodaTherm,CrodaTherm 60,0.412,0.33,Pluss Advanced Technologies,savE® OM49,0.411,0.25,PureTemp,PureTemp 60,0.176
RT60,Rubitherm Technologies,TC_solid,0.1922,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),0.2,Pluss Advanced Technologies,savE® OM48,0.498,0.18,PCM Products Ltd.,PlusICE A52,0.426,0.21,Pluss Advanced Technologies,savE® OM50,0.076
n-Heptacosane (C27),Literature,TC_solid,0.3029,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),0.29,CrodaTherm,CrodaTherm 60,0.441,0.33,Pluss Advanced Technologies,savE® OM49,0.44,0.25,PureTemp,PureTemp 60,0.119
Palmitic acid/Expanded graphite (80/20),Literature,TC_solid,0.1907,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),0.19,Pluss Advanced Technologies,savE® OM65,0.783,0.19,Pluss Advanced Technologies,savE® OM42,0.143,0.2,Pluss Advanced Technologies,savE® OM46,0.074
RT65,Rubitherm Technologies,TC_solid,0.1827,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),0.18,PCM Products Ltd.,PlusICE A52,0.879,0.2,Pluss Advanced Technologies,savE® OM48,0.096,0.21,Pluss Advanced Technologies,savE® OM50,0.025
n-Octacosane (C28),Literature,TC_solid,0.3068,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),0.33,Pluss Advanced Technologies,savE® OM49,0.475,0.29,CrodaTherm,CrodaTherm 60,0.472,0.25,PureTemp,PureTemp 60,0.053
RT62HC,Rubitherm Technologies,TC_solid,0.3043,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),0.33,Pluss Advanced Technologies,savE® OM49,0.453,0.29,CrodaTherm,CrodaTherm 60,0.452,0.25,PureTemp,PureTemp 60,0.095
Palmitic acid (C16),Literature,TC_solid,0.2144,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),0.22,PCM Products Ltd.,PlusICE A62,0.659,0.22,PCM Products Ltd.,PlusICE A58,0.201,0.18,PCM Products Ltd.,PlusICE A52,0.139
RT64HC,Rubitherm Technologies,TC_solid,0.303,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),0.33,Pluss Advanced Technologies,savE® OM49,0.442,0.29,CrodaTherm,CrodaTherm 60,0.441,0.25,PureTemp,PureTemp 60,0.117
n-Nonacosane (C29),Literature,TC_solid,0.303,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),0.33,Pluss Advanced Technologies,savE® OM49,0.442,0.29,CrodaTherm,CrodaTherm 60,0.441,0.25,PureTemp,PureTemp 60,0.117
n-Triacontane (C30),Literature,TC_solid,0.3079,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),0.33,Pluss Advanced Technologies,savE® OM49,0.483,0.29,CrodaTherm,CrodaTherm 60,0.479,0.25,PureTemp,PureTemp 60,0.037
Stearic acid (C18),Literature,TC_solid,0.25,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),0.25,PureTemp,PureTemp 60,0.412,0.25,PureTemp,PureTemp 58,0.4,0.25,PureTemp,PureTemp 63,0.188
PureTemp 68,PureTemp,TC_solid,0.3005,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),0.29,CrodaTherm,CrodaTherm 60,0.422,0.33,Pluss Advanced Technologies,savE® OM49,0.42,0.25,PureTemp,PureTemp 60,0.158
n-Hentriacontane (C31),Literature,TC_solid,0.25,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),0.25,PureTemp,PureTemp 60,0.411,0.25,PureTemp,PureTemp 58,0.4,0.25,PureTemp,PureTemp 63,0.189
RT69HC,Rubitherm Technologies,TC_solid,0.304,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),0.33,Pluss Advanced Technologies,savE® OM49,0.45,0.29,CrodaTherm,CrodaTherm 60,0.449,0.25,PureTemp,PureTemp 60,0.101
n-Dotriacontane (C32),Literature,TC_solid,0.191,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),0.19,Pluss Advanced Technologies,savE® OM65,0.652,0.19,Pluss Advanced Technologies,savE® OM42,0.246,0.2,Pluss Advanced Technologies,savE® OM46,0.102
RT70HC,Rubitherm Technologies,TC_solid,0.3034,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),0.33,Pluss Advanced Technologies,savE® OM49,0.445,0.29,CrodaTherm,CrodaTherm 60,0.444,0.25,PureTemp,PureTemp 60,0.111
savE® OM42,Pluss Advanced Technologies,TC_both,0.4293,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),0.6,Literature,Palmitic acid/Expanded graphite (80/20),0.562,0.21,Literature,n-Heptacosane (C27),0.278,0.21,Literature,n-Hexacosane (C26),0.159
Lauric acid (C12),Literature,TC_both,0.2,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),0.2,Rubitherm Technologies,RT47,0.893,0.2,Literature,n-Docosane (C22),0.056,0.2,Rubitherm Technologies,RT60,0.051
savE® OM46,Pluss Advanced Technologies,TC_both,0.3502,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),0.21,Literature,n-Heptacosane (C27),0.434,0.6,Literature,Palmitic acid/Expanded graphite (80/20),0.359,0.21,Literature,n-Hexacosane (C26),0.206
n-Tricosane (C23),Literature,TC_both,0.2087,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),0.21,Literature,n-Hexacosane (C26),0.873,0.2,Rubitherm Technologies,RT55,0.065,0.2,Rubitherm Technologies,RT65,0.062
Paraffin/Expanded graphite (85.56% paraffin),Literature,TC_both,0.2,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),0.2,Rubitherm Technologies,RT50,0.553,0.2,Rubitherm Technologies,RT65,0.252,0.2,Rubitherm Technologies,RT55,0.195
savE® OM49,Pluss Advanced Technologies,TC_both,0.2082,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),0.21,Literature,n-Hexacosane (C26),0.517,0.21,Literature,n-Heptacosane (C27),0.301,0.2,Rubitherm Technologies,RT55,0.182
Paraffin/HDPE PCM3,Literature,TC_both,0.2055,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),0.21,Literature,n-Hexacosane (C26),0.552,0.2,Rubitherm Technologies,RT55,0.231,0.2,Rubitherm Technologies,RT65,0.217
PlusICE A50,PCM Products Ltd.,TC_both,0.2055,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),0.21,Literature,n-Hexacosane (C26),0.547,0.2,Rubitherm Technologies,RT55,0.234,0.2,Rubitherm Technologies,RT65,0.219
savE® OM50,Pluss Advanced Technologies,TC_both,0.3363,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),0.21,Literature,n-Heptacosane (C27),0.466,0.6,Literature,Palmitic acid/Expanded graphite (80/20),0.324,0.21,Literature,n-Hexacosane (C26),0.21
Paraffin/HDPE PCM6,Literature,TC_both,0.2061,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),0.21,Literature,n-Hexacosane (C26),0.608,0.2,Rubitherm Technologies,RT55,0.202,0.2,Rubitherm Technologies,RT65,0.19
Paraffin/HDPE PCM2,Literature,TC_both,0.2045,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),0.21,Literature,n-Hexacosane (C26),0.452,0.2,Rubitherm Technologies,RT55,0.284,0.2,Rubitherm Technologies,RT65,0.264
savE® OM48,Pluss Advanced Technologies,TC_both,0.2077,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),0.21,Literature,n-Hexacosane (C26),0.768,0.2,Rubitherm Technologies,RT55,0.119,0.2,Rubitherm Technologies,RT65,0.113
